ticker,method,order_fraction,participation_limit,cost_scenario,sessions,mean_completion,mean_shortfall_bps,mean_vwap_slippage_bps
META,VWAP,0.01,0.1,base,20,1.0,17.535024143347027,6.72751742529054
META,VWAP,0.01,0.1,high,20,1.0,20.635373681242974,9.824440111026457
META,VWAP,0.01,0.1,low,20,1.0,15.984849374400316,5.179056082423805
META,VWAP,0.01,0.2,base,20,1.0,17.535062120416825,6.727555670128726
META,VWAP,0.01,0.2,high,20,1.0,20.635439919327762,9.824506866649484
META,VWAP,0.01,0.2,low,20,1.0,15.984873220962617,5.179080071869457
META,VWAP,0.03,0.05,base,20,0.9969889358679455,18.437253147576616,7.551096141141246
META,VWAP,0.03,0.05,high,20,0.9969889358679455,22.250981364607537,11.373289671770037
META,VWAP,0.03,0.05,low,20,0.9969889358679455,16.530389039061653,5.63999937582721
META,VWAP,0.03,0.1,base,20,1.0,18.332968606823293,7.524527052559071
META,VWAP,0.03,0.1,high,20,1.0,22.225832946796135,11.413050970673078
META,VWAP,0.03,0.1,low,20,1.0,16.38653643683285,5.580265093497793
META,VWAP,0.03,0.2,base,20,1.0,18.337556939600994,7.529123989069798
META,VWAP,0.03,0.2,high,20,1.0,22.240521026641993,11.427734474129258
META,VWAP,0.03,0.2,low,20,1.0,16.38607489607679,5.579818746536458
META,VWAP,0.05,0.05,base,20,0.9123152051834985,18.70322988080311,8.260714362128551
META,VWAP,0.05,0.05,high,20,0.9123152051834985,22.458326158461514,12.382129595536306
META,VWAP,0.05,0.05,low,20,0.9123152051834985,16.82568174197322,6.200006745423259
META,VWAP,0.05,0.1,base,20,1.0,18.873917121018057,8.064429101093285
META,VWAP,0.05,0.1,high,20,1.0,23.269887172571256,12.45548301286209
META,VWAP,0.05,0.1,low,20,1.0,16.67593209523867,5.8689021452058014
META,VWAP,0.05,0.2,base,20,1.0,18.88665894611815,8.0775597282976
META,VWAP,0.05,0.2,high,20,1.0,23.33547338122719,12.521389884499744
META,VWAP,0.05,0.2,low,20,1.0,16.662251728561962,5.855644650194725
